Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,RxDtcsCode,CrossMode,Mode,TStep,Skip,Power,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
89,R76,438.800000,-,7.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
90,R77,438.825000,-,7.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
91,R78CAN,438.850000,-,7.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
92,RU78AV,438.850000,-,7.600000,Tone,71.9,71.9,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
93,R79AST,438.875000,-,7.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
94,R80,438.900000,-,7.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
95,R81DON,431.325000,+,7.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
96,RU82BI,438.950000,-,7.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
97,R83AST,438.975000,-,7.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
98,R84BI,439.000000,-,7.600000,Tone,77.0,77.0,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
99,R85AST,439.025000,-,7.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
100,R86,439.050000,-,7.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
101,R87AST,439.075000,-,7.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
102,R88,439.100000,-,7.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
103,R89AST,439.125000,-,7.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
104,R90,439.150000,-,7.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
105,RU91LE,439.175000,-,7.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
106,RU92AV,439.200000,-,7.600000,Tone,82.5,82.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
107,R92,439.200000,-,7.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
108,RU93LE,439.225000,-,7.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
